epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.624,1.17022,3.16764,1.49434,0.01592,0.96154,0.20608,0.11169,1.25351,3.4131,1.51689,0.000363212,0.000363212,0.000363212
2,689.404,1.19003,2.43448,1.52594,0.52862,0.43567,0.47859,0.27936,1.2275,2.57042,1.57523,0.000709338,0.000709338,0.000709338
3,1053.66,1.16102,1.95204,1.48345,0.34838,0.48965,0.39148,0.18223,1.64365,3.14074,1.97809,0.00103102,0.00103102,0.00103102
4,1387.78,1.14101,1.76968,1.45891,0.43554,0.5619,0.4916,0.27641,1.40028,2.49044,1.74127,0.00100101,0.00100101,0.00100101
5,1739.5,1.1068,1.58773,1.4082,0.5425,0.63385,0.61776,0.40646,1.20113,2.00271,1.50576,0.000964348,0.000964348,0.000964348
6,2077.63,1.06981,1.5011,1.36979,0.57178,0.56886,0.597,0.35804,1.31973,2.00729,1.61441,0.000927685,0.000927685,0.000927685
7,2417.43,1.04046,1.42669,1.35431,0.80645,0.67943,0.77124,0.50822,1.13503,1.68312,1.40429,0.000891022,0.000891022,0.000891022
8,2753.55,1.02092,1.36733,1.33656,0.7736,0.5849,0.75686,0.52312,1.06549,1.59622,1.3558,0.000854359,0.000854359,0.000854359
9,3093.06,0.97791,1.24668,1.30537,0.74991,0.63526,0.71667,0.45962,1.1525,1.76766,1.43182,0.000817696,0.000817696,0.000817696
10,3427.19,0.95755,1.22493,1.29283,0.82418,0.85348,0.88933,0.6198,1.01017,1.20202,1.30556,0.000781033,0.000781033,0.000781033
11,3745.49,0.95894,1.16414,1.29292,0.84711,0.73436,0.85258,0.55609,1.09399,1.37955,1.39033,0.00074437,0.00074437,0.00074437
12,4058.96,0.94166,1.10072,1.2714,0.82335,0.73702,0.81763,0.56404,1.11127,1.29328,1.35477,0.000707707,0.000707707,0.000707707
13,4371.04,0.92861,1.0921,1.26845,0.79139,0.84542,0.88168,0.62766,1.01666,1.17823,1.26462,0.000671044,0.000671044,0.000671044
14,4680.34,0.90917,1.03871,1.24283,0.80625,0.9011,0.8888,0.63889,0.91962,1.08626,1.19347,0.000634381,0.000634381,0.000634381
15,5002.25,0.90982,1.03649,1.24381,0.83419,0.88103,0.90069,0.67173,0.91943,1.05331,1.18822,0.000597718,0.000597718,0.000597718
16,5330.5,0.89262,0.98306,1.2265,0.83165,0.76024,0.83354,0.62536,0.98263,1.1073,1.25471,0.000561055,0.000561055,0.000561055
17,5656.84,0.88822,0.96922,1.23225,0.87117,0.87665,0.89173,0.63362,0.99897,1.07612,1.26311,0.000524392,0.000524392,0.000524392
18,5969.25,0.86236,0.90953,1.21354,0.84386,0.8633,0.89909,0.64074,0.95089,0.98768,1.21733,0.000487729,0.000487729,0.000487729
19,6275.99,0.83794,0.86959,1.19139,0.816,0.88161,0.90177,0.6793,0.98073,0.97809,1.24159,0.000451066,0.000451066,0.000451066
20,6577.8,0.84751,0.85633,1.20028,0.8981,0.85508,0.90519,0.66652,0.9018,0.86469,1.17196,0.000414403,0.000414403,0.000414403
21,6887.53,0.86576,0.93212,1.26096,0.86472,0.8837,0.90761,0.68797,0.89967,0.93332,1.15035,0.00037774,0.00037774,0.00037774
22,7219.79,0.83893,0.82839,1.25803,0.89273,0.87479,0.92461,0.71116,0.87525,0.86239,1.12931,0.000341077,0.000341077,0.000341077
23,7558.63,0.81224,0.7652,1.22073,0.84595,0.88411,0.88856,0.66482,0.9157,0.89571,1.17743,0.000304414,0.000304414,0.000304414
24,7929.94,0.79528,0.7221,1.21111,0.89809,0.86698,0.91505,0.70068,0.89641,0.85032,1.14566,0.000267751,0.000267751,0.000267751
25,8289.38,0.77594,0.72437,1.20306,0.89167,0.88575,0.92048,0.72529,0.89428,0.8046,1.11996,0.000231088,0.000231088,0.000231088
26,8633.63,0.76998,0.68109,1.1838,0.89332,0.91225,0.91802,0.71428,0.84296,0.81872,1.11886,0.000194425,0.000194425,0.000194425
27,8965.62,0.73568,0.65528,1.157,0.91563,0.8775,0.91744,0.71924,0.8904,0.78219,1.17627,0.000157762,0.000157762,0.000157762
28,9295.84,0.71781,0.63841,1.14303,0.92019,0.90957,0.92726,0.71824,0.88747,0.74879,1.15512,0.000121099,0.000121099,0.000121099
29,9628.21,0.72567,0.65018,1.16322,0.9196,0.88332,0.91745,0.72531,0.88757,0.77096,1.14654,8.4436e-05,8.4436e-05,8.4436e-05
30,9959.4,0.70785,0.63871,1.1526,0.90673,0.89744,0.92105,0.73083,0.86722,0.7527,1.13234,4.7773e-05,4.7773e-05,4.7773e-05
